final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100,          11.0,           13,           16,           19, 12.0        , 14.0         , 16.0         , 18.0
         99,           0,            0,            0,           18, 11.86       , 13.84        , 15.82        , 17.8
         98,           0,            0,            0,            0, 11.72       , 13.68        , 15.64        , 17.6
         97,           0,            0,            0,           17, 11.58       , 13.52        , 15.46        , 17.4
         96,           0,            0,            0,            0, 11.44       , 13.36        , 15.28        , 17.2
         95,          10.0,           12,           15,           16, 11.3        , 13.2         , 15.1         , 17.0
         94,           0,            0,            0,            0, 11.16       , 13.04        , 14.92        , 16.8
         93,           0,            0,            0,            0, 11.02       , 12.88        , 14.74        , 16.6
         92,           0,            0,            0,            0, 10.88       , 12.72        , 14.56        , 16.4
         91,           0,            0,            0,            0, 10.74       , 12.56        , 14.38        , 16.2
         90,           9.0,           11,           14,            0, 10.6        , 12.4         , 14.2         , 16.0
         89,           0,            0,            0,            0, 10.46       , 12.24        , 14.02        , 15.8
         88,           0,            0,            0,            0, 10.32       , 12.08        , 13.84        , 15.6
         87,           0,            0,            0,            0, 10.18       , 11.92        , 13.66        , 15.4
         86,           0,            0,            0,            0, 10.04       , 11.76        , 13.48        , 15.2
         85,           8.0,           10,           13,           15, 9.9         , 11.6         , 13.3         , 15.0
         84,           0,            0,            0,            0, 9.76        , 11.44        , 13.12        , 14.8
         83,           0,            0,            0,            0, 9.62        , 11.28        , 12.94        , 14.6
         82,           0,            0,            0,            0, 9.48        , 11.12        , 12.76        , 14.4
         81,           0,            0,            0,            0, 9.34        , 10.96        , 12.58        , 14.2
         80,           7.0,            9,           12,           14, 9.2         , 10.8         , 12.4         , 14.0
         79,           0,            0,            0,            0, 11.86       , 9.06         , 10.64        , 12.22        , 
         78,           0,            0,            0,            0, 11.52       , 8.92         , 10.48        , 12.04        , 
         77,           0,            0,            0,            0, 11.18       , 8.78         , 10.32        , 11.86        , 
         76,           0,            0,            0,            0, 10.84       , 8.64         , 10.16        , 11.68        , 
         75,           6,            8,           11,           13, -           , -            , -            , -
         74,           0,            0,            0,            0, 8.36        , 9.84         , 11.32        , 12.8
         73,           0,            0,            0,            0, 8.22        , 9.68         , 11.14        , 12.6
         72,           0,            0,            0,            0, 8.08        , 9.52         , 10.96        , 12.4
         71,           0,            0,            0,            0, 7.94        , 9.36         , 10.78        , 12.2
         70,           5,            7,           10,           12, 7.8         , 9.2          , 10.6         , 12.0
         69,           0,            0,            0,            0, 7.66        , 9.04         , 10.42        , 11.8
         68,           0,            0,            0,            0, 7.52        , 8.88         , 10.24        , 11.6
         67,           0,            0,            0,            0, 7.38        , 8.72         , 10.06        , 11.4
         66,           0,            0,            0,            0, 7.24        , 8.56         , 9.88         , 11.2
         65,           4,            6,            9,           11, 7.1         , 8.4          , 9.7          , 11.0
         64,           0,            0,            0,            0, 6.96        , 8.24         , 9.52         , 10.8
         63,           0,            0,            0,            0, 6.82        , 8.08         , 9.34         , 10.6
         62,           0,            0,            0,            0, 6.68        , 7.92         , 9.16         , 10.4
         61,           0,            0,            0,            0, 6.54        , 7.76         , 8.98         , 10.2
         60,           3,            5,            8,           10, 6.4         , 7.6          , 8.8          , 10.0
         59,           0,            0,            0,            0, 6.26        , 7.44         , 8.62         , 9.8
         58,           0,            0,            0,            0, 6.12        , 7.28         , 8.44         , 9.6
         57,           0,            0,            0,            0, 5.98        , 7.12         , 8.26         , 9.4
         56,           0,            0,            0,            0, 5.84        , 6.96         , 8.08         , 9.2
         55,           2,            4,            7,            5, 5.7         , 6.8          , 7.9          , 9.0
         54,           0,            0,            0,            0, 5.56        , 6.64         , 7.72         , 8.8
         53,           0,            0,            0,            0, 5.42        , 6.48         , 7.54         , 8.6
         52,           0,            0,            0,            0, 5.28        , 6.32         , 7.36         , 8.4
         51,           0,            0,            0,            0, 5.14        , 6.16         , 7.18         , 8.2
         50,           0,            3,            6,            4, 5.0         , 6.0          , 7.0          , 8.0
